"generations","abundance"
1,2500
2,4000
3,5920
4,7852.288
5,9201.44425320448
6,9789.27354818168
7,9954.30225863666
8,9990.69338904208
9,9998.13174876781
10,9999.62607052455
11,9999.92520291905
12,9999.98504013624
13,9999.99700800934
14,9999.99940160115
15,9999.9998803202
16,9999.99997606404
17,9999.99999521281
18,9999.99999904256
19,9999.99999980851
20,9999.9999999617
21,9999.99999999234
22,9999.99999999847
23,9999.99999999969
24,9999.99999999994
25,9999.99999999999
26,10000
27,10000
28,10000
29,10000
30,10000
31,10000
32,10000
33,10000
34,10000
35,10000
36,10000
37,10000
38,10000
39,10000
40,10000
41,10000
42,10000
43,10000
44,10000
45,10000
46,10000
47,10000
48,10000
49,10000
50,10000
51,10000
52,10000
53,10000
54,10000
55,10000
56,10000
57,10000
58,10000
59,10000
60,10000
61,10000
62,10000
63,10000
64,10000
65,10000
66,10000
67,10000
68,10000
69,10000
70,10000
71,10000
72,10000
73,10000
74,10000
75,10000
76,10000
77,10000
78,10000
79,10000
80,10000
81,10000
82,10000
83,10000
84,10000
85,10000
86,10000
87,10000
88,10000
89,10000
90,10000
91,10000
92,10000
93,10000
94,10000
95,10000
96,10000
97,10000
98,10000
99,10000
100,10000
